"","YYYYMMDD","DOY","TEMP","RHUM","RAIN","LAT","LON"
"1",2000-07-01,183,25.3,92.19,23.12,14.6774,121.25562
"2",2000-07-02,184,26.13,86,17.34,14.6774,121.25562
"3",2000-07-03,185,25.51,94.19,29.08,14.6774,121.25562
"4",2000-07-04,186,25.81,92.44,13,14.6774,121.25562
"5",2000-07-05,187,25.97,92.31,32.2,14.6774,121.25562
"6",2000-07-06,188,26.12,88.62,23.79,14.6774,121.25562
"7",2000-07-07,189,25.92,91.31,10.9,14.6774,121.25562
"8",2000-07-08,190,26.15,91,21.07,14.6774,121.25562
"9",2000-07-09,191,25.85,93.38,7.03,14.6774,121.25562
"10",2000-07-10,192,25.51,93.69,4.79,14.6774,121.25562
"11",2000-07-11,193,25.65,86,8.16,14.6774,121.25562
"12",2000-07-12,194,24.71,89.56,40.37,14.6774,121.25562
"13",2000-07-13,195,24.56,94.88,36.5,14.6774,121.25562
"14",2000-07-14,196,25.24,93.94,18.87,14.6774,121.25562
"15",2000-07-15,197,24.96,93.25,14.49,14.6774,121.25562
"16",2000-07-16,198,25.9,85.88,0.76,14.6774,121.25562
"17",2000-07-17,199,25.57,87.56,0.16,14.6774,121.25562
"18",2000-07-18,200,25.17,86.25,0.71,14.6774,121.25562
"19",2000-07-19,201,25.33,82.69,3.73,14.6774,121.25562
"20",2000-07-20,202,25.92,78,4.25,14.6774,121.25562
"21",2000-07-21,203,25.6,85,6.69,14.6774,121.25562
"22",2000-07-22,204,24.37,92.75,4.31,14.6774,121.25562
"23",2000-07-23,205,24.7,94.19,5.51,14.6774,121.25562
"24",2000-07-24,206,24.82,91.81,8.32,14.6774,121.25562
"25",2000-07-25,207,25.4,89.31,2.85,14.6774,121.25562
"26",2000-07-26,208,25.27,90.94,1.39,14.6774,121.25562
"27",2000-07-27,209,24.8,91.62,4.13,14.6774,121.25562
"28",2000-07-28,210,25.51,87.38,1.65,14.6774,121.25562
"29",2000-07-29,211,25.85,87.38,0.25,14.6774,121.25562
"30",2000-07-30,212,25.71,86.75,0,14.6774,121.25562
"31",2000-07-31,213,25.9,83.06,0.48,14.6774,121.25562
"32",2000-08-01,214,27.05,78.75,0.73,14.6774,121.25562
"33",2000-08-02,215,25.96,86.06,3.09,14.6774,121.25562
"34",2000-08-03,216,25.01,91.56,10.87,14.6774,121.25562
"35",2000-08-04,217,24.48,92.19,12.82,14.6774,121.25562
"36",2000-08-05,218,24.43,91.88,17.21,14.6774,121.25562
"37",2000-08-06,219,24.93,91.31,14.53,14.6774,121.25562
"38",2000-08-07,220,25.11,88.94,2.4,14.6774,121.25562
"39",2000-08-08,221,26,86.5,0.26,14.6774,121.25562
"40",2000-08-09,222,26.34,85.12,1.32,14.6774,121.25562
"41",2000-08-10,223,26.62,86,0.6,14.6774,121.25562
"42",2000-08-11,224,26.25,87.56,1.78,14.6774,121.25562
"43",2000-08-12,225,26.15,86.56,1.34,14.6774,121.25562
"44",2000-08-13,226,26.16,85.88,3.42,14.6774,121.25562
"45",2000-08-14,227,25.78,86.62,1.91,14.6774,121.25562
"46",2000-08-15,228,26.24,86,2.96,14.6774,121.25562
"47",2000-08-16,229,26.13,86,6.9,14.6774,121.25562
"48",2000-08-17,230,26.58,85.12,8.16,14.6774,121.25562
"49",2000-08-18,231,26.01,86.62,15.27,14.6774,121.25562
"50",2000-08-19,232,25.77,88.12,6.79,14.6774,121.25562
"51",2000-08-20,233,26.05,89.88,4.87,14.6774,121.25562
"52",2000-08-21,234,25.67,93.69,9.32,14.6774,121.25562
"53",2000-08-22,235,25.68,92.69,10.24,14.6774,121.25562
"54",2000-08-23,236,25.19,91.88,5.37,14.6774,121.25562
"55",2000-08-24,237,25.7,87.5,0.41,14.6774,121.25562
"56",2000-08-25,238,26.74,83.44,0.07,14.6774,121.25562
"57",2000-08-26,239,25.9,87.44,0.52,14.6774,121.25562
"58",2000-08-27,240,26.21,88.56,5.88,14.6774,121.25562
"59",2000-08-28,241,26.15,89.75,7.97,14.6774,121.25562
"60",2000-08-29,242,25.98,92.94,12.78,14.6774,121.25562
"61",2000-08-30,243,26.12,92.38,7.29,14.6774,121.25562
"62",2000-08-31,244,25.71,92.38,5.13,14.6774,121.25562
"63",2000-09-01,245,25.74,88.75,1.66,14.6774,121.25562
"64",2000-09-02,246,24.99,93.12,19.35,14.6774,121.25562
"65",2000-09-03,247,24.58,93.44,46.99,14.6774,121.25562
"66",2000-09-04,248,25.15,90.38,7.59,14.6774,121.25562
"67",2000-09-05,249,24.94,91.69,14.95,14.6774,121.25562
"68",2000-09-06,250,25.45,87.44,12.29,14.6774,121.25562
"69",2000-09-07,251,25.72,88.12,5.68,14.6774,121.25562
"70",2000-09-08,252,25.76,91.44,10.09,14.6774,121.25562
"71",2000-09-09,253,25.45,94.06,10.92,14.6774,121.25562
"72",2000-09-10,254,25.28,94.81,17.61,14.6774,121.25562
"73",2000-09-11,255,25.16,93.06,7.01,14.6774,121.25562
"74",2000-09-12,256,24.78,92.44,8.43,14.6774,121.25562
"75",2000-09-13,257,24.8,91.81,2.97,14.6774,121.25562
"76",2000-09-14,258,25.37,88.56,2.87,14.6774,121.25562
"77",2000-09-15,259,25.8,89,2.97,14.6774,121.25562
"78",2000-09-16,260,25.19,93.38,5.01,14.6774,121.25562
"79",2000-09-17,261,26.85,81.69,5,14.6774,121.25562
"80",2000-09-18,262,26.99,82.75,8.86,14.6774,121.25562
"81",2000-09-19,263,25.87,87.56,5.51,14.6774,121.25562
"82",2000-09-20,264,25.58,90.19,8.22,14.6774,121.25562
"83",2000-09-21,265,25.44,93.69,10.28,14.6774,121.25562
"84",2000-09-22,266,25.74,91.12,10.32,14.6774,121.25562
"85",2000-09-23,267,25.18,88.94,29.63,14.6774,121.25562
"86",2000-09-24,268,25.04,91.19,29.28,14.6774,121.25562
"87",2000-09-25,269,25.09,89.5,9.62,14.6774,121.25562
"88",2000-09-26,270,26.58,78.75,5.64,14.6774,121.25562
"89",2000-09-27,271,25.9,84.62,6.21,14.6774,121.25562
"90",2000-09-28,272,25.61,86.75,3.54,14.6774,121.25562
"91",2000-09-29,273,25.48,86.88,2.1,14.6774,121.25562
"92",2000-09-30,274,25.12,89.75,3.73,14.6774,121.25562
"93",2000-10-01,275,25.05,91.81,6.68,14.6774,121.25562
"94",2000-10-02,276,26.15,86,1.25,14.6774,121.25562
"95",2000-10-03,277,25.95,85.56,0.41,14.6774,121.25562
"96",2000-10-04,278,25.6,88.56,6.7,14.6774,121.25562
"97",2000-10-05,279,25.12,88.06,5.89,14.6774,121.25562
"98",2000-10-06,280,25.58,87.94,4.82,14.6774,121.25562
"99",2000-10-07,281,25.3,92.25,20.87,14.6774,121.25562
"100",2000-10-08,282,25.3,92.44,30.08,14.6774,121.25562
"101",2000-10-09,283,25.2,93.62,15.03,14.6774,121.25562
"102",2000-10-10,284,25.25,91.31,12.23,14.6774,121.25562
"103",2000-10-11,285,25.58,89.06,2.49,14.6774,121.25562
"104",2000-10-12,286,25.7,89.81,3.81,14.6774,121.25562
"105",2000-10-13,287,25.65,90.44,4.92,14.6774,121.25562
"106",2000-10-14,288,25.56,91.56,4.32,14.6774,121.25562
"107",2000-10-15,289,26.06,88.5,5.79,14.6774,121.25562
"108",2000-10-16,290,25.54,93.69,19.76,14.6774,121.25562
"109",2000-10-17,291,25.72,93.44,11.04,14.6774,121.25562
"110",2000-10-18,292,25.84,91.62,6.31,14.6774,121.25562
"111",2000-10-19,293,25.62,90.75,2.74,14.6774,121.25562
"112",2000-10-20,294,25.3,92.69,6.04,14.6774,121.25562
"113",2000-10-21,295,25.49,91.56,2.15,14.6774,121.25562
"114",2000-10-22,296,26.15,87.25,2.1,14.6774,121.25562
"115",2000-10-23,297,25.78,88.62,3,14.6774,121.25562
"116",2000-10-24,298,25.81,87.62,2.76,14.6774,121.25562
"117",2000-10-25,299,25.82,89.75,12.04,14.6774,121.25562
"118",2000-10-26,300,25.44,94.94,13.03,14.6774,121.25562
"119",2000-10-27,301,25.74,91.44,11.54,14.6774,121.25562
"120",2000-10-28,302,25.44,91.88,74.2,14.6774,121.25562
"121",2000-10-29,303,24.97,94.12,29.11,14.6774,121.25562
"122",2000-10-30,304,25.61,94.88,21.72,14.6774,121.25562
"123",2000-10-31,305,25.64,91,17.53,14.6774,121.25562
"124",2000-11-01,306,25.37,85.81,0.39,14.6774,121.25562
"125",2000-11-02,307,24.31,94.81,27.17,14.6774,121.25562
"126",2000-11-03,308,24.87,93.94,25.23,14.6774,121.25562
